formattedTime-value
Jun 18, 2015 at 7:00 AM-20.916666666666668
Jun 19, 2015 at 7:00 AM-10.125
Jun 20, 2015 at 7:00 AM-10.875
Jun 21, 2015 at 7:00 AM-9.458333333333334
Jun 22, 2015 at 7:00 AM-8.25
Jun 23, 2015 at 7:00 AM-9.0
Jun 24, 2015 at 7:00 AM-9.291666666666666
Jun 25, 2015 at 7:00 AM-30.0
Jun 26, 2015 at 7:00 AM-23.916666666666668
Jun 27, 2015 at 7:00 AM-26.291666666666668
Jun 28, 2015 at 7:00 AM-28.375
Jun 29, 2015 at 7:00 AM-31.916666666666668
Jun 30, 2015 at 7:00 AM-37.083333333333336
Jul 1, 2015 at 7:00 AM-31.208333333333332
Jul 2, 2015 at 7:00 AM-53.25
Jul 3, 2015 at 7:00 AM-50.5
Jul 4, 2015 at 7:00 AM-52.708333333333336
Jul 5, 2015 at 7:00 AM-51.083333333333336
Jul 6, 2015 at 7:00 AM-55.458333333333336
Jul 7, 2015 at 7:00 AM-54.208333333333336
Jul 8, 2015 at 7:00 AM-56.333333333333336
Jul 9, 2015 at 7:00 AM-58.916666666666664
Jul 10, 2015 at 7:00 AM-61.666666666666664
Jul 11, 2015 at 7:00 AM-59.291666666666664
Jul 12, 2015 at 7:00 AM-64.08333333333333
Jul 13, 2015 at 7:00 AM-60.375
Jul 14, 2015 at 7:00 AM-56.5
Jul 15, 2015 at 7:00 AM-53.666666666666664
Jul 16, 2015 at 7:00 AM-62.583333333333336
Jul 17, 2015 at 7:00 AM-58.125
Jul 18, 2015 at 7:00 AM-58.75
Jul 19, 2015 at 7:00 AM-55.458333333333336
Jul 20, 2015 at 7:00 AM-61.083333333333336
Jul 21, 2015 at 7:00 AM-59.916666666666664
Jul 22, 2015 at 7:00 AM-64.04166666666667
Jul 23, 2015 at 7:00 AM-49.833333333333336
Jul 24, 2015 at 7:00 AM-53.166666666666664
Jul 25, 2015 at 7:00 AM-51.208333333333336
Jul 26, 2015 at 7:00 AM-54.291666666666664
Jul 27, 2015 at 7:00 AM-58.791666666666664
Jul 28, 2015 at 7:00 AM-59.458333333333336
Jul 29, 2015 at 7:00 AM-52.708333333333336
Jul 30, 2015 at 7:00 AM-46.041666666666664
Jul 31, 2015 at 7:00 AM-42.166666666666664
Aug 1, 2015 at 7:00 AM-71.79166666666667
Aug 2, 2015 at 7:00 AM-57.208333333333336
Aug 3, 2015 at 7:00 AM-56.333333333333336
Aug 4, 2015 at 7:00 AM-50.625
Aug 5, 2015 at 7:00 AM-46.916666666666664
Aug 6, 2015 at 7:00 AM-59.875
Aug 7, 2015 at 7:00 AM-53.458333333333336
Aug 8, 2015 at 7:00 AM-55.291666666666664
Aug 9, 2015 at 7:00 AM-62.333333333333336
Aug 10, 2015 at 7:00 AM-62.333333333333336
Aug 11, 2015 at 7:00 AM-58.0
Aug 12, 2015 at 7:00 AM-56.166666666666664
Aug 13, 2015 at 7:00 AM-52.333333333333336
Aug 14, 2015 at 7:00 AM-49.0
Aug 15, 2015 at 7:00 AM-44.041666666666664
Aug 16, 2015 at 7:00 AM-47.958333333333336
Aug 17, 2015 at 7:00 AM-51.75
Aug 18, 2015 at 7:00 AM-53.75
Aug 19, 2015 at 7:00 AM-72.45833333333333
Aug 20, 2015 at 7:00 AM-47.208333333333336
Aug 21, 2015 at 7:00 AM-45.375
Aug 22, 2015 at 7:00 AM-45.5
Aug 23, 2015 at 7:00 AM-40.75
Aug 24, 2015 at 7:00 AM-53.166666666666664
Aug 25, 2015 at 7:00 AM-54.541666666666664
Aug 26, 2015 at 7:00 AM-42.916666666666664
Aug 27, 2015 at 7:00 AM-60.125
Aug 28, 2015 at 7:00 AM-57.708333333333336
Aug 29, 2015 at 7:00 AM-49.083333333333336
Aug 30, 2015 at 7:00 AM-55.375
Aug 31, 2015 at 7:00 AM-53.958333333333336
Sep 1, 2015 at 7:00 AM-52.958333333333336
Sep 2, 2015 at 7:00 AM-54.166666666666664
Sep 3, 2015 at 7:00 AM-48.75
Sep 4, 2015 at 7:00 AM-54.458333333333336
Sep 5, 2015 at 7:00 AM-46.041666666666664
Sep 6, 2015 at 7:00 AM-47.875
Sep 7, 2015 at 7:00 AM-48.375
Sep 8, 2015 at 7:00 AM-53.583333333333336
Sep 9, 2015 at 7:00 AM-57.416666666666664
Sep 10, 2015 at 7:00 AM-48.458333333333336
Sep 11, 2015 at 7:00 AM-51.208333333333336
Sep 12, 2015 at 7:00 AM-56.458333333333336
Sep 13, 2015 at 7:00 AM-53.958333333333336
Sep 14, 2015 at 7:00 AM-59.0
Sep 15, 2015 at 7:00 AM-54.333333333333336
Sep 16, 2015 at 7:00 AM-54.958333333333336
Sep 17, 2015 at 7:00 AM-59.0
Sep 18, 2015 at 7:00 AM-58.833333333333336
Sep 19, 2015 at 7:00 AM-52.625
Sep 20, 2015 at 7:00 AM-56.333333333333336
Sep 21, 2015 at 7:00 AM-52.916666666666664
Sep 22, 2015 at 7:00 AM-55.291666666666664
Sep 23, 2015 at 7:00 AM-56.291666666666664
Sep 24, 2015 at 7:00 AM-47.708333333333336
Sep 25, 2015 at 7:00 AM-51.333333333333336
Sep 26, 2015 at 7:00 AM-50.291666666666664
Sep 27, 2015 at 7:00 AM-49.25
Sep 28, 2015 at 7:00 AM-48.791666666666664
Sep 29, 2015 at 7:00 AM-49.208333333333336
Sep 30, 2015 at 7:00 AM-53.75
Oct 1, 2015 at 7:00 AM-47.333333333333336
Oct 2, 2015 at 7:00 AM-51.875
Oct 3, 2015 at 7:00 AM-49.916666666666664
Oct 4, 2015 at 7:00 AM-48.208333333333336
Oct 5, 2015 at 7:00 AM-56.791666666666664
Oct 6, 2015 at 7:00 AM-58.833333333333336
Oct 7, 2015 at 7:00 AM-51.458333333333336
Oct 8, 2015 at 7:00 AM-56.416666666666664
Oct 9, 2015 at 7:00 AM-51.333333333333336
Oct 10, 2015 at 7:00 AM-59.75
Oct 11, 2015 at 7:00 AM-50.416666666666664
Oct 12, 2015 at 7:00 AM-53.875
Oct 13, 2015 at 7:00 AM-59.416666666666664
Oct 14, 2015 at 7:00 AM-54.458333333333336
Oct 15, 2015 at 7:00 AM-45.25
Oct 16, 2015 at 7:00 AM-44.958333333333336
Oct 17, 2015 at 7:00 AM-51.458333333333336
Oct 18, 2015 at 7:00 AM-45.25
Oct 19, 2015 at 7:00 AM-47.708333333333336
Oct 20, 2015 at 7:00 AM-50.416666666666664
Oct 21, 2015 at 7:00 AM-53.875
Oct 22, 2015 at 7:00 AM-59.416666666666664
Oct 23, 2015 at 7:00 AM-50.958333333333336
Oct 24, 2015 at 7:00 AM-53.75
Oct 25, 2015 at 7:00 AM-53.708333333333336
Oct 26, 2015 at 7:00 AM-55.958333333333336
Oct 27, 2015 at 7:00 AM-59.375
